SIZE       |DFT_TIME   |FFT_TIME   |L2_ERROR    |C_ERROR
1024       |0.044192   |0.000346   |2.47103e-07 |8.95334e-15
2048       |0.123484   |0.000572   |1.10783e-06 |3.25559e-13
4096       |0.487116   |0.001304   |4.28903e-06 |2.90598e-12
8192       |1.95042    |0.002692   |1.41767e-05 |1.52333e-11
16384      |7.76328    |0.005795   |6.29292e-05 |1.08908e-09
32768      |30.9361    |0.01209    |0.000239749 |4.50521e-09
65536      |122.64     |0.025239   |0.000980894 |9.98421e-08
131072     |0          |0.052339   |0           |0         
262144     |0          |0.109785   |0           |0         
524288     |0          |0.230862   |0           |0         
1048576    |0          |0.484682   |0           |0         
2097152    |0          |1.01355    |0           |0         
4194304    |0          |2.11461    |0           |0         
8388608    |0          |4.39549    |0           |0         
16777216   |0          |9.20505    |0           |0         
33554432   |0          |19.1945    |0           |0         
67108864   |0          |39.6915    |0           |0         
134217728  |0          |82.4866    |0           |0         
