SIZE       |DFT_TIME   |FFT_TIME   |L2_ERROR    |C_ERROR
1024       |0.042609   |0.062533   |2.39841e-07 |9.45467e-15
2048       |0.118949   |0.03699    |1.11352e-06 |3.73589e-13
4096       |0.476049   |0.039973   |4.15419e-06 |2.6178e-12
8192       |1.90587    |0.03975    |1.44213e-05 |1.66372e-11
16384      |7.60219    |0.043279   |6.27911e-05 |1.07606e-09
32768      |30.3365    |0.064189   |0.000239148 |4.14316e-09
65536      |121.762    |0.072225   |0.000974262 |1.00998e-07
131072     |0          |0.086456   |0           |0         
262144     |0          |0.108235   |0           |0         
524288     |0          |0.176883   |0           |0         
1048576    |0          |0.283266   |0           |0         
2097152    |0          |0.502592   |0           |0         
4194304    |0          |0.916031   |0           |0         
8388608    |0          |1.79489    |0           |0         
16777216   |0          |3.53945    |0           |0         
33554432   |0          |7.11656    |0           |0         
67108864   |0          |19.0566    |0           |0         
134217728  |0          |48.5167    |0           |0         

OMP: n_threads = 2000, stop = 32
