SIZE       |DFT_TIME   |FFT_TIME   |L2_ERROR    |C_ERROR
1024       |0.053009   |0.048017   |2.37718e-07 |7.45099e-15
2048       |0.120644   |0.051469   |1.11536e-06 |3.09885e-13
4096       |0.485727   |0.04863    |4.15051e-06 |2.53906e-12
8192       |1.9352     |0.049037   |1.46408e-05 |1.56803e-11
16384      |7.73212    |0.053882   |6.26653e-05 |1.08002e-09
32768      |30.9614    |0.035995   |0.000239351 |4.1678e-09
65536      |123.689    |0.05513    |0.000980136 |1.01978e-07
131072     |0          |0.061304   |0           |0         
262144     |0          |0.061656   |0           |0         
524288     |0          |0.08029    |0           |0         
1048576    |0          |0.131189   |0           |0         
2097152    |0          |0.222692   |0           |0         
4194304    |0          |0.459178   |0           |0         
8388608    |0          |0.919721   |0           |0         
16777216   |0          |1.87526    |0           |0         
33554432   |0          |3.89539    |0           |0         
67108864   |0          |12.754     |0           |0         
134217728  |0          |37.7646    |0           |0         

THREADS: stop_rec = 1, stop = size / 1024
